		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.484375	M = 256	N = 8	m = 9	n = 2048
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110010000    0    1    0    1    0    1    1    1  4.206061 0.838070 SUCCESS 101
110010010    1    1    1    0    1    0    0    1  4.206061 0.838070 SUCCESS 102
110010100    0    0    0    0    0    1    1    3 16.618182 0.034340 SUCCESS 103
110011000    0    0    1    0    0    0    0    0  3.947475 0.861831 SUCCESS 104
110011010    1    1    2    2    0    1    0    0 12.610101 0.125988 SUCCESS 105
110100000    1    0    0    0    0    0    0    1  4.012121 0.856028 SUCCESS 106
110100010    1    0    0    0    2    0    1    0  8.278788 0.406722 SUCCESS 107
110100100    1    0    0    0    1    0    2    1  8.343434 0.400661 SUCCESS 108
110101000    0    0    1    1    0    0    1    0  4.076768 0.850132 SUCCESS 109
110101010    0    2    0    0    0    1    0    2 12.480808 0.131006 SUCCESS 110
110101100    0    1    0    1    0    0    1    1  4.141414 0.844144 SUCCESS 111
110110000    0    0    0    0    0    2    1    0  8.214141 0.412837 SUCCESS 112
110110010    1    0    0    0    0    1    0    0  4.012121 0.856028 SUCCESS 113
110110100    0    1    0    0    1    0    0    0  4.012121 0.856028 SUCCESS 114
110111000    0    1    0    1    0    0    0    1  4.076768 0.850132 SUCCESS 115
110111010    0    1    0    0    0    0    1    0  4.012121 0.856028 SUCCESS 116
110111100    0    2    1    1    1    0    0    0  8.343434 0.400661 SUCCESS 117
111000000    2    0    1    1    1    0    0    0  8.343434 0.400661 SUCCESS 118
111000010    1    1    2    1    0    0    0    0  8.343434 0.400661 SUCCESS 119
111000100    0    0    0    0    0    0    0    0  3.882828 0.867537 SUCCESS 120
111000110    1    1    0    1    1    0    0    1  4.206061 0.838070 SUCCESS 121
111001000    0    2    0    1    0    0    0    0  8.214141 0.412837 SUCCESS 122
111001010    0    0    0    0    0    0    1    1  4.012121 0.856028 SUCCESS 123
111001100    0    0    1    0    0    0    0    0  3.947475 0.861831 SUCCESS 124
111010000    3    0    1    0    0    0    0    0 16.553535 0.035109 SUCCESS 125
111010010    0    0    0    0    0    0    1    1  4.012121 0.856028 SUCCESS 126
111010100    0    1    2    0    0    0    0    0  8.214141 0.412837 SUCCESS 127
111010110    1    0    0    0    0    1    1    1  4.141414 0.844144 SUCCESS 128
111011000    0    0    0    0    0    1    0    0  3.947475 0.861831 SUCCESS 129
111011010    0    2    0    0    1    0    1    0  8.278788 0.406722 SUCCESS 130
111011100    0    1    0    0    0    0    1    0  4.012121 0.856028 SUCCESS 131
111100000    2    0    0    2    1    0    0    0 12.480808 0.131006 SUCCESS 132
111100010    1    0    0    1    0    0    0    0  4.012121 0.856028 SUCCESS 133
111100100    0    1    1    0    0    1    1    1  4.206061 0.838070 SUCCESS 134
111100110    0    1    2    1    1    0    0    0  8.343434 0.400661 SUCCESS 135
111101000    0    0    2    0    0    1    1    0  8.278788 0.406722 SUCCESS 136
