		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 122070.296875	M = 62500000	N = 8	m = 9	n = 500000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111010010 121824 121278 122183 121884 121803 121505 121916 121659 11.182996 0.191544 SUCCESS 126
111010100 122035 122195 121841 121884 121834 121420 121676 121958  6.362489 0.606697 SUCCESS 127
111010110 121921 122543 121562 122219 122248 121973 121857 122730  8.879765 0.352540 SUCCESS 128
111011000 122448 121354 121388 121988 121282 121718 121390 121778 20.520815 0.008535 FAILURE 129
111011010 121595 121765 121794 122164 121641 121685 122015 121365 10.485628 0.232581 SUCCESS 130
111011100 121639 121428 121262 120962 121019 121500 121273 121200 44.940829 0.000000 FAILURE 131
111100000 122472 122547 122530 122497 122382 122349 122465 122038  9.436605 0.306813 SUCCESS 132
111100010 122396 121575 121260 121776 121694 121914 122080 121578 12.736039 0.121260 SUCCESS 133
111100100 121949 121848 122800 122120 121781 121821 122118 122185  6.442620 0.597779 SUCCESS 134
111100110 123215 122643 122601 122083 122778 121713 122130 123029 29.413698 0.000268 FAILURE 135
111101000 121242 121773 121651 121535 121094 121473 121745 121101 30.436983 0.000177 FAILURE 136
111101010 122171 122857 122405 122523 121858 121839 122724 122207 12.630303 0.125219 SUCCESS 137
111101100 122135 121831 122002 122231 121746 122134 121954 122125  1.844506 0.985413 SUCCESS 138
111101110 121229 121147 121163 121411 120999 122162 121551 120985 45.940276 0.000000 FAILURE 139
111110000 122829 122984 122649 122737 122526 122267 122530 122019 22.455965 0.004138 FAILURE 140
111110010 122365 122093 122944 122380 122329 122136 122063 122311  9.116248 0.332585 SUCCESS 141
111110100 121960 122109 121992 121543 121753 121528 122219 121541  8.429846 0.392646 SUCCESS 142
111110110 121934 121609 122111 122109 122362 121911 122273 121852  3.675181 0.885177 SUCCESS 143
111111000 123323 122852 122940 122673 122536 122625 122956 122901 44.900847 0.000000 FAILURE 144
111111010 122216 122966 122477 122731 121684 121812 122284 122723 17.904869 0.021951 SUCCESS 145
111111100 123536 122954 123276 123076 122955 123066 123051 123009 76.357026 0.000000 FAILURE 146
111111110 123233 123569 122945 123672 123021 122712 122952 122938 82.822477 0.000000 FAILURE 147

